Group_Beta_abs_intra,REV_G01,REV_G03,AvgRet,Alpha
Beta_abs_intra_G01,3.927,1.4352,3.4136,-2.8461
Beta_abs_intra_G02,1.6181,4.2019,2.3417,-0.6312
Beta_abs_intra_G03,2.7502,0.2801,1.8059,1.9491
HML,-1.1768,-1.1551,-1.6078,4.7952
t,-1.1259,-0.7571,-1.4016,6.3821
p,0.2973,0.4911,0.2038,0.0
