Group_Beta_abs_intra,RSJ_G01,RSJ_G03,AvgRet,Alpha
Beta_abs_intra_G01,4.8132,0.4775,3.5575,-2.0285
Beta_abs_intra_G02,1.7637,1.2556,1.4794,-0.8806
Beta_abs_intra_G03,1.9578,1.8143,2.0302,-1.3822
HML,-2.8554,1.3368,-1.5273,0.6463
t,-2.0532,0.873,-1.0651,0.3343
p,0.0792,0.4319,0.3222,0.7413
