Group_AutoCorr,ILLIQ_G01,ILLIQ_G03,AvgRet,Alpha
AutoCorr_G01,1.908,1.5884,1.4353,-2.5318
AutoCorr_G02,2.266,3.5856,2.6011,-3.4821
AutoCorr_G03,2.5836,1.8698,2.3176,0.3174
HML,0.6756,0.2814,0.8822,2.8491
t,0.4344,0.1216,0.7806,0.7609
p,0.6771,0.9091,0.4606,0.4548
