Group_Beta_abs_intra,ME_G01,ME_G03,AvgRet,Alpha
Beta_abs_intra_G01,2.902,4.3703,2.969,5.2774
Beta_abs_intra_G02,2.2574,2.5934,2.2889,-3.8778
Beta_abs_intra_G03,0.7804,-0.0933,0.6212,0.1341
HML,-2.1216,-4.4636,-2.3479,-5.1433
t,-1.7896,-3.2915,-2.8476,-2.1978
p,0.1166,0.0302,0.0248,0.0388
