Group_AutoCorr,CSK_G01,CSK_G03,AvgRet,Alpha
AutoCorr_G01,2.6524,2.0279,2.1678,3.1766
AutoCorr_G02,4.0257,-0.1098,2.8763,-4.3597
AutoCorr_G03,2.036,2.9765,2.114,-2.0697
HML,-0.6164,0.9487,-0.0538,-5.2463
t,-0.4275,0.9256,-0.0507,-1.8892
p,0.6819,0.4071,0.961,0.0721
