Group_BQ100,MAX_G01,MAX_G03,AvgRet,Alpha
BQ100_G01,2.4825,3.7944,2.9206,-5.3586
BQ100_G02,1.2909,0.8721,1.4327,-1.5693
BQ100_G03,2.6448,1.593,2.1014,0.1051
HML,0.1623,-2.2014,-0.8191,5.4637
t,0.0627,-1.1929,-0.5013,2.5593
p,0.9518,0.2988,0.6315,0.0179
