Group_Square,ME_G01,ME_G03,AvgRet,Alpha
Square_G01,1.6683,2.2434,1.779,0.1841
Square_G02,3.1225,1.6365,2.506,-2.7857
Square_G03,1.1491,2.9905,1.5942,4.1352
HML,-0.5192,0.7471,-0.1848,3.9511
t,-0.3438,0.4371,-0.1732,4.1065
p,0.7411,0.6846,0.8674,0.0005
