Group_Beta_abs_intra,beta_G01,beta_G03,AvgRet,Alpha
Beta_abs_intra_G01,1.3643,1.6824,1.2382,-1.6917
Beta_abs_intra_G02,2.5614,0.642,1.7279,-1.5419
Beta_abs_intra_G03,1.9429,-0.2879,0.8102,-1.6901
HML,0.5786,-1.9703,-0.428,0.0016
t,1.2016,-1.894,-1.0826,0.0015
p,0.2686,0.1311,0.3149,0.9988
