Group_AutoCorr,REV_G01,REV_G03,AvgRet,Alpha
AutoCorr_G01,3.8522,0.2077,2.6346,1.5415
AutoCorr_G02,2.1778,1.3119,2.2053,-3.9411
AutoCorr_G03,2.2653,4.3975,2.7212,0.8715
HML,-1.5869,4.1898,0.0866,-0.67
t,-2.4368,3.0662,0.1858,-0.3163
p,0.045,0.0374,0.8578,0.7548
