Group_Beta_abs_intra,Beta_neg_G01,Beta_neg_G03,AvgRet,Alpha
Beta_abs_intra_G01,1.7938,3.1662,2.0429,-0.7535
Beta_abs_intra_G02,1.1691,0.6669,0.8003,-1.9112
Beta_abs_intra_G03,2.3958,1.7387,1.9866,0.2529
HML,0.602,-1.4276,-0.0563,1.0064
t,0.561,-0.5539,-0.0841,0.4725
p,0.5923,0.6092,0.9353,0.6413
