Group_BQ100,REV_G01,REV_G03,AvgRet,Alpha
BQ100_G01,2.3704,4.6042,2.7305,-0.6604
BQ100_G02,3.2517,1.2285,3.0114,-3.0187
BQ100_G03,2.6733,0.0845,1.8192,2.151
HML,0.3029,-4.5197,-0.9113,2.8115
t,0.42,-2.6339,-0.8515,0.8021
p,0.6871,0.0579,0.4227,0.4311
