Group_BQ100,MIN_G01,MIN_G03,AvgRet,Alpha
BQ100_G01,1.9433,2.862,2.2729,-0.143
BQ100_G02,1.8814,0.1726,1.0031,-0.3876
BQ100_G03,2.4812,2.2274,1.9458,3.7556
HML,0.5379,-0.6347,-0.3271,3.8986
t,0.747,-0.2617,-0.4024,2.945
p,0.4794,0.8065,0.6994,0.0075
