Group_BQ100,BM_G01,BM_G03,AvgRet,Alpha
BQ100_G01,1.6978,0.8368,1.3299,-2.9003
BQ100_G02,1.8104,3.9465,2.1469,2.3397
BQ100_G03,0.6822,3.1206,1.3254,-0.1051
HML,-1.0156,2.2838,-0.0045,2.7952
t,-0.5456,3.2966,-0.0036,1.1374
p,0.6023,0.03,0.9973,0.2676
