Group,AvgRet,Alpha
Square_G01,0.9119,0.5066
Square_G02,0.6322,0.1733
Square_G03,0.2014,-0.2655
HML,-0.7104,-0.7721
t,-1.723,-2.3088
p,0.1054,0.0307
