Group,AvgRet,Alpha
Beta_abs_intra_G01,1.0463,0.828
Beta_abs_intra_G02,1.016,0.406
Beta_abs_intra_G03,-0.3436,-0.8736
HML,-1.3899,-1.7016
t,-2.0449,-2.7513
p,0.0588,0.0117
