Group,AvgRet,Alpha
BQ100_G01,0.8247,0.3498
BQ100_G02,1.1953,0.8645
BQ100_G03,-0.1762,-0.6736
HML,-1.0008,-1.0234
t,-1.3147,-1.576
p,0.2083,0.1293
