Group,AvgRet,Alpha
AutoCorr_G01,1.1466,0.5954
AutoCorr_G02,-0.0697,-0.3286
AutoCorr_G03,0.1489,-0.2876
HML,-0.9977,-0.883
t,-0.9682,-0.8681
p,0.3483,0.3947
