Group_Square,BM_G01,BM_G03,AvgRet,Alpha
Square_G01,1.7463,-0.0096,1.1139,-1.6299
Square_G02,1.5948,3.7512,1.8702,1.0314
Square_G03,0.8493,4.1625,1.8181,-0.0671
HML,-0.897,4.1721,0.7042,1.5628
t,-0.4693,3.4714,0.5616,0.6968
p,0.6531,0.0256,0.5919,0.4932
