Group_Square,disconBeta_G01,disconBeta_G03,AvgRet,Alpha
Square_G01,1.463,2.2027,1.3894,-1.7342
Square_G02,1.502,1.3761,1.8471,-2.7987
Square_G03,2.1952,2.7332,2.2365,-5.3008
HML,0.7321,0.5305,0.8471,-3.5666
t,0.6678,0.7228,0.6721,-3.1261
p,0.5256,0.5098,0.523,0.0049
