Group_AutoCorr,MIN_G01,MIN_G03,AvgRet,Alpha
AutoCorr_G01,2.7723,3.1683,2.4689,1.8523
AutoCorr_G02,1.0482,0.4716,0.5721,2.5245
AutoCorr_G03,2.4854,1.6221,2.1808,-1.1518
HML,-0.2869,-1.5462,-0.2882,-3.0042
t,-0.2343,-1.0848,-0.2343,-1.1064
p,0.8215,0.339,0.8215,0.2805
