Group_Square,IVOL_G01,IVOL_G03,AvgRet,Alpha
Square_G01,0.0736,0.5935,0.0308,-1.6096
Square_G02,1.9864,2.0762,2.1159,1.7588
Square_G03,2.279,3.1949,2.2862,1.7512
HML,2.2054,2.6014,2.2554,3.3609
t,0.9828,1.885,1.2335,1.8141
p,0.3585,0.1325,0.2572,0.0833
