Group_Beta_abs_intra,MIN_G01,MIN_G03,AvgRet,Alpha
Beta_abs_intra_G01,1.6849,4.0155,2.437,3.3192
Beta_abs_intra_G02,1.8687,0.1081,1.0437,-2.4228
Beta_abs_intra_G03,2.7522,1.1385,1.741,2.3286
HML,1.0673,-2.877,-0.696,-0.9907
t,2.1183,-4.5803,-1.2625,-0.9699
p,0.0719,0.0102,0.2472,0.3426
