Group_BQ100,Beta_neg_G01,Beta_neg_G03,AvgRet,Alpha
BQ100_G01,1.8496,0.2785,0.9405,-0.1185
BQ100_G02,1.4998,1.0591,1.0914,-1.6508
BQ100_G03,2.9268,3.2495,2.9488,-1.7278
HML,1.0772,2.971,2.0083,-1.6093
t,0.9738,1.6097,1.438,-0.7406
p,0.3626,0.1827,0.1936,0.4668
