Group_BQ100,beta_G01,beta_G03,AvgRet,Alpha
BQ100_G01,1.8745,-1.5044,0.3958,-0.1726
BQ100_G02,2.0703,2.1646,1.7222,0.0767
BQ100_G03,3.0312,0.5755,2.2176,-2.5298
HML,1.1567,2.0799,1.8218,-2.3572
t,1.1326,1.3451,1.6298,-1.1563
p,0.2947,0.2498,0.1472,0.26
