Group_BQ100,ME_G01,ME_G03,AvgRet,Alpha
BQ100_G01,2.4902,1.3264,1.9033,0.8757
BQ100_G02,2.1725,2.5535,2.12,-3.1063
BQ100_G03,1.2772,2.9905,1.8558,3.7642
HML,-1.213,1.6641,-0.0475,2.8885
t,-1.2408,0.9995,-0.0562,1.2642
p,0.2547,0.3741,0.9568,0.2194
