Group_Square,CSK_G01,CSK_G03,AvgRet,Alpha
Square_G01,2.6193,1.7311,2.0422,-0.356
Square_G02,2.3995,1.1837,1.9025,-0.3489
Square_G03,3.6953,1.9798,3.2134,-2.548
HML,1.0759,0.2487,1.1712,-2.192
t,0.5981,0.1491,0.8428,-1.265
p,0.5686,0.8887,0.4272,0.2191
