Group_BQ100,ILLIQ_G01,ILLIQ_G03,AvgRet,Alpha
BQ100_G01,1.7976,2.2436,1.751,-0.7498
BQ100_G02,2.133,2.5796,2.1588,-0.1797
BQ100_G03,2.827,2.2207,2.4442,-4.767
HML,1.0293,-0.0229,0.6931,-4.0172
t,0.9533,-0.0107,0.5977,-2.8282
p,0.3722,0.992,0.5689,0.0098
