Group_Square,CKT_G01,CKT_G03,AvgRet,Alpha
Square_G01,3.3068,1.4917,2.3633,-0.2076
Square_G02,1.6434,2.4053,1.7619,-2.5176
Square_G03,1.184,3.6614,1.2148,0.8104
HML,-2.1228,2.1696,-1.1484,1.0179
t,-2.2402,1.5476,-1.2941,0.2434
p,0.0601,0.1966,0.2367,0.8099
