Group_BQ100,RSJ_G01,RSJ_G03,AvgRet,Alpha
BQ100_G01,2.5792,0.1477,2.0314,-4.7629
BQ100_G02,2.9224,0.2628,2.2501,0.2489
BQ100_G03,3.033,3.137,2.7856,0.2227
HML,0.4538,2.9893,0.7541,4.9857
t,0.3573,2.6168,0.6306,2.1848
p,0.7314,0.059,0.5484,0.0398
