Group_Square,Beta_neg_G01,Beta_neg_G03,AvgRet,Alpha
Square_G01,1.901,-0.2795,0.8175,0.1856
Square_G02,0.8791,1.6171,0.9297,-1.7277
Square_G03,3.4961,3.2495,3.2335,-1.955
HML,1.5951,3.529,2.416,-2.1406
t,1.5869,1.088,1.4512,-0.9736
p,0.1566,0.3377,0.19,0.3408
