Group_AutoCorr,CSK_G01,CSK_G03,AvgRet,Alpha
AutoCorr_G01,3.4375,1.9798,2.9556,-3.0074
AutoCorr_G02,3.1433,2.4429,2.8225,1.8201
AutoCorr_G03,2.1333,0.4719,1.38,-2.0655
HML,-1.3042,-1.5078,-1.5756,0.9419
t,-0.6636,-0.8922,-0.9709,0.4945
p,0.5282,0.4227,0.3639,0.6258
