Group_AutoCorr,RSJ_G01,RSJ_G03,AvgRet,Alpha
AutoCorr_G01,3.159,1.6746,2.771,0.6228
AutoCorr_G02,3.186,0.3467,2.0287,-0.4943
AutoCorr_G03,2.1897,1.5261,2.2674,-4.4198
HML,-0.9693,-0.1485,-0.5036,-5.0426
t,-0.676,-0.1463,-0.3831,-3.2394
p,0.5208,0.8907,0.713,0.0038
