Group_AutoCorr,BM_G01,BM_G03,AvgRet,Alpha
AutoCorr_G01,2.1967,3.3541,2.2392,0.2518
AutoCorr_G02,0.364,4.5596,1.5075,0.7289
AutoCorr_G03,1.6298,-0.0096,1.0556,-1.6464
HML,-0.5669,-3.3637,-1.1836,-1.8983
t,-0.547,-2.1439,-1.0797,-0.9025
p,0.6014,0.0987,0.3161,0.3766
