Group_Beta_abs_intra,MAX_G01,MAX_G03,AvgRet,Alpha
Beta_abs_intra_G01,3.4849,1.0392,2.8464,-4.8219
Beta_abs_intra_G02,2.0859,3.7534,2.2699,-2.4521
Beta_abs_intra_G03,0.8474,1.467,1.3383,0.4511
HML,-2.6376,0.4278,-1.5081,5.273
t,-2.0775,0.5457,-2.3444,4.2763
p,0.0764,0.6143,0.0515,0.0003
