Group_Beta_abs_intra,beta_G01,beta_G03,AvgRet,Alpha
Beta_abs_intra_G01,2.279,1.0827,1.6343,-1.8356
Beta_abs_intra_G02,2.2044,0.0904,1.1749,0.0929
Beta_abs_intra_G03,2.4926,0.0626,1.5263,-0.8831
HML,0.2136,-1.0201,-0.108,0.9524
t,0.3998,-0.9624,-0.1869,0.6097
p,0.7012,0.3904,0.857,0.5483
