Group_BQ100,CSK_G01,CSK_G03,AvgRet,Alpha
BQ100_G01,2.1333,0.2641,1.315,-1.084
BQ100_G02,2.8856,3.0588,2.7572,-0.3904
BQ100_G03,3.6953,1.5717,3.0859,-1.7785
HML,1.562,1.3076,1.7709,-0.6945
t,0.7883,2.2638,1.3385,-0.329
p,0.4564,0.0863,0.2226,0.7453
