Group_Square,REV_G01,REV_G03,AvgRet,Alpha
Square_G01,2.0532,2.348,1.8669,-0.5274
Square_G02,2.2778,3.4847,2.7426,-0.6271
Square_G03,3.9643,0.0845,2.9517,-0.3736
HML,1.9112,-2.2635,1.0849,0.1538
t,1.8999,-2.1668,0.8442,0.0424
p,0.0992,0.0962,0.4265,0.9666
