Group,AvgRet,Alpha
Square_G01,1.6485,1.1948
Square_G02,-0.539,-0.8912
Square_G03,0.2762,-0.187
HML,-1.3723,-1.3818
t,-1.9311,-2.8934
p,0.0726,0.0084
