Group,AvgRet,Alpha
BQ100_G01,1.422,0.8677
BQ100_G02,1.0985,0.8048
BQ100_G03,-0.8381,-1.2275
HML,-2.2601,-2.0952
t,-2.3536,-2.8639
p,0.0326,0.009
