Group,AvgRet,Alpha
Beta_abs_intra_G01,1.0159,0.7708
Beta_abs_intra_G02,0.5153,0.1176
Beta_abs_intra_G03,0.1753,-0.5152
HML,-0.8406,-1.286
t,-1.397,-2.2217
p,0.1827,0.0369
