Group,AvgRet,Alpha
AutoCorr_G01,0.4172,-0.1744
AutoCorr_G02,1.1108,0.7224
AutoCorr_G03,0.3862,0.0828
HML,-0.031,0.2572
t,-0.0355,0.3372
p,0.9721,0.7391
