Group_Beta_abs_intra,REV_G01,REV_G03,AvgRet,Alpha
Beta_abs_intra_G01,3.927,1.4352,3.4136,-2.8461
Beta_abs_intra_G02,1.6181,4.3975,2.4028,-0.3745
Beta_abs_intra_G03,2.7502,0.0845,1.7447,1.6924
HML,-1.1768,-1.3507,-1.6689,4.5385
t,-1.1259,-0.9166,-1.4425,6.1318
p,0.2973,0.4112,0.1924,0.0
