Group_AutoCorr,MIN_G01,MIN_G03,AvgRet,Alpha
AutoCorr_G01,2.0558,0.1081,0.9343,-0.2959
AutoCorr_G02,2.8728,2.3003,2.5236,4.3918
AutoCorr_G03,1.3772,2.8537,1.7638,-0.8709
HML,-0.6786,2.7457,0.8295,-0.575
t,-1.3247,1.4283,1.3588,-0.2153
p,0.2269,0.2264,0.2164,0.8315
