Group_Square,CKT_G01,CKT_G03,AvgRet,Alpha
Square_G01,3.5527,2.1193,2.7049,-0.779
Square_G02,1.8743,1.7777,1.6586,-0.9452
Square_G03,0.7072,3.6614,0.9764,-0.1907
HML,-2.8455,1.542,-1.7285,0.5883
t,-3.0629,0.8936,-2.1097,0.1539
p,0.0182,0.422,0.0728,0.8791
