Group_BQ100,MIN_G01,MIN_G03,AvgRet,Alpha
BQ100_G01,2.1709,2.862,2.4945,-1.2645
BQ100_G02,1.6538,0.1726,0.7815,0.734
BQ100_G03,2.4812,2.2274,1.9458,3.7556
HML,0.3103,-0.6347,-0.5488,5.0201
t,0.2832,-0.2617,-0.4628,3.3128
p,0.7852,0.8065,0.6576,0.0032
