Group_AutoCorr,RSJ_G01,RSJ_G03,AvgRet,Alpha
AutoCorr_G01,2.7842,1.1152,2.2214,-0.5211
AutoCorr_G02,3.3937,1.5372,2.6084,0.2491
AutoCorr_G03,2.3568,0.895,2.2373,-4.0193
HML,-0.4273,-0.2202,0.0159,-3.4982
t,-0.2893,-0.096,0.0096,-1.8619
p,0.7808,0.9281,0.9926,0.076
