Group_Beta_abs_intra,beta_G01,beta_G03,AvgRet,Alpha
Beta_abs_intra_G01,1.4311,1.6824,1.2716,-1.4805
Beta_abs_intra_G02,2.4947,0.8376,1.7556,-1.4965
Beta_abs_intra_G03,1.9429,-0.4835,0.749,-1.9468
HML,0.5118,-2.1659,-0.5225,-0.4663
t,1.0578,-2.412,-1.505,-0.4919
p,0.3253,0.0734,0.176,0.6276
