Group_BQ100,disconBeta_G01,disconBeta_G03,AvgRet,Alpha
BQ100_G01,3.1032,1.7713,2.7361,-1.455
BQ100_G02,-0.1415,1.9705,0.5496,-1.9037
BQ100_G03,2.1985,2.5702,2.1872,-6.475
HML,-0.9046,0.7989,-0.5489,-5.02
t,-0.618,0.6783,-0.4125,-1.5696
p,0.5561,0.5348,0.6923,0.1308
