Group_AutoCorr,disconBeta_G01,disconBeta_G03,AvgRet,Alpha
AutoCorr_G01,0.7455,2.8611,1.7083,-0.783
AutoCorr_G02,2.2501,1.6533,1.9265,-6.4381
AutoCorr_G03,2.1646,1.7977,1.8382,-2.6126
HML,1.4191,-1.0634,0.13,-1.8297
t,1.2766,-1.0703,0.1388,-1.5279
p,0.2425,0.3448,0.8935,0.1408
