Group_BQ100,BM_G01,BM_G03,AvgRet,Alpha
BQ100_G01,2.8742,1.5556,2.2505,-1.0644
BQ100_G02,-0.2403,3.2278,0.7892,0.4174
BQ100_G03,1.5565,3.1206,1.7626,-0.0187
HML,-1.3176,1.5651,-0.4879,1.0456
t,-1.787,1.5171,-0.8,0.9152
p,0.1171,0.2038,0.45,0.37
