Group_Square,MAX_G01,MAX_G03,AvgRet,Alpha
Square_G01,3.1571,1.6303,2.5816,-4.1538
Square_G02,0.8684,3.0362,1.8977,-2.8747
Square_G03,2.3927,1.593,1.9754,0.2057
HML,-0.7644,-0.0373,-0.6062,4.3595
t,-0.3408,-0.0319,-0.3489,2.7487
p,0.7433,0.9761,0.7374,0.0117
