Group_BQ100,RSJ_G01,RSJ_G03,AvgRet,Alpha
BQ100_G01,3.7269,0.9825,3.1417,-2.7366
BQ100_G02,2.2624,-0.4011,1.5206,-1.6902
BQ100_G03,2.5454,2.966,2.4048,0.1354
HML,-1.1815,1.9836,-0.737,2.872
t,-0.9531,1.646,-0.738,0.7063
p,0.3723,0.1751,0.4845,0.4874
