Group_Beta_abs_intra,ME_G01,ME_G03,AvgRet,Alpha
Beta_abs_intra_G01,1.9073,4.3703,2.4717,2.6377
Beta_abs_intra_G02,3.2521,2.5535,2.7738,-1.2515
Beta_abs_intra_G03,0.7804,-0.0534,0.6336,0.1474
HML,-1.1269,-4.4237,-1.8381,-2.4902
t,-0.7026,-3.1937,-2.0461,-1.2437
p,0.505,0.0331,0.08,0.2267
