Group,AvgRet,Alpha
Square_G01,0.9798,0.5494
Square_G02,1.0299,0.4606
Square_G03,0.023,-0.3626
HML,-0.9568,-0.912
t,-1.5178,-1.7834
p,0.1498,0.0883
