Group,AvgRet,Alpha
Beta_abs_intra_G01,1.5599,1.4212
Beta_abs_intra_G02,-0.1355,-0.9562
Beta_abs_intra_G03,0.0912,-0.3557
HML,-1.4687,-1.7769
t,-1.8447,-2.604
p,0.0849,0.0162
