Group,AvgRet,Alpha
AutoCorr_G01,0.8546,0.466
AutoCorr_G02,0.8046,0.5946
AutoCorr_G03,-0.1113,-0.8121
HML,-0.9658,-1.2782
t,-0.8279,-1.2373
p,0.4207,0.229
