Group,AvgRet,Alpha
BQ100_G01,0.6324,0.2586
BQ100_G02,1.5512,1.2007
BQ100_G03,-0.2077,-0.8403
HML,-0.8401,-1.0989
t,-0.9552,-1.4992
p,0.3546,0.148
