Group,AvgRet,Alpha
AutoCorr_G01,0.0788,-0.1101
AutoCorr_G02,0.971,0.4935
AutoCorr_G03,1.0273,0.4741
HML,0.9485,0.5842
t,0.8775,0.5789
p,0.394,0.5685
