Group,AvgRet,Alpha
Beta_abs_intra_G01,1.8571,1.7068
Beta_abs_intra_G02,-0.3293,-1.1095
Beta_abs_intra_G03,0.0923,-0.2732
HML,-1.7648,-1.98
t,-2.452,-3.4959
p,0.0269,0.002
