Group,AvgRet,Alpha
BQ100_G01,1.4872,1.0374
BQ100_G02,0.1741,0.2692
BQ100_G03,-0.5599,-1.2307
HML,-2.0471,-2.2681
t,-2.3065,-2.7891
p,0.0358,0.0107
