Group,AvgRet,Alpha
Square_G01,1.076,0.7194
Square_G02,1.011,0.2829
Square_G03,0.1618,-0.0107
HML,-0.9142,-0.7301
t,-1.2887,-0.9802
p,0.217,0.3376
