Trddt,rvp,rvn,rv,RSJ,Stkcd
2005-01-05,0.0005280465310942076,0.0002461210462294661,0.0007741675773236735,0.36416596757948516,9
2005-01-07,0.001779287443731411,0.00047633093906999474,0.0022556183828014056,0.5776493553147878,9
2005-01-10,0.00020029870977199653,0.00022480564396049605,0.00042510435373249256,-0.05764921947593393,9
2005-01-13,0.00032442466464761507,0.0002453747514408438,0.0005697994160884588,0.13873287857932642,9
2005-01-21,0.00047625944036442655,0.000358979976229537,0.0008352394165939636,0.1404141876028138,9
2005-01-25,0.00023850079544658842,0.0002217049088953025,0.0004602057043418909,0.036496476234045346,9
2005-01-28,0.00019028948482954672,0.0002350773072750527,0.0004253667921045995,-0.1052922401955921,9
2005-02-16,0.0002817005116860212,0.00039972801611246755,0.0006814285277984887,-0.17320599242852555,9
2005-03-21,0.0005002180509841446,0.00025483387322630647,0.0007550519242104512,0.32498980519046217,9
2005-03-23,0.0010149288580820163,0.0008138374636496935,0.0018287663217317097,0.1099601365372388,9
2005-03-24,0.0017759022213428759,0.0005931884987295545,0.00236909072007243,0.4992268605809922,9
2005-03-30,0.005110964861668181,0.001416124866755968,0.006527089728424149,0.5660777082352547,9
2005-03-31,0.0014486642443129727,0.0006136337982500081,0.0020622980425629807,0.40490289416422387,9
2005-04-05,0.00158848843654295,0.0005298061244378534,0.002118294560980804,0.4997804987116191,9
2005-04-08,0.000767398164277801,0.0006292790751792034,0.0013966772394570048,0.0988912006272079,9
2005-04-14,0.00037456212540100804,0.0008212167490943157,0.0011957788744953236,-0.3735261035463747,9
2005-04-20,0.00026137380306632684,0.000939849057961889,0.0012012228610282158,-0.5648204649675121,9
2005-04-22,0.000518294311504768,0.0015173933638162457,0.002035687675321014,-0.4907919149011533,9
2005-04-25,0.00043272202097718,0.0007142178544262788,0.0011469398754034587,-0.2454320749377356,9
2005-04-28,0.0026387112149905624,0.0010045667261971958,0.003643277941187758,0.4485368712387102,9
2005-05-10,0.0010013109172558605,0.0007560797445031219,0.0017573906617589824,0.13954277673655402,9
2005-05-12,0.0004981690117409131,0.0009207633425306052,0.0014189323542715183,-0.297825565480641,9
2005-05-18,0.0005693717143677046,0.00029037996162620196,0.0008597516759939066,0.3245027145995118,9
2005-05-20,0.00037757208320883843,0.0004546548695964751,0.0008322269528053135,-0.09262231429515956,9
2005-05-23,0.00034975789320481986,0.0004606831598423116,0.0008104410530471315,-0.13687024641758969,9
2005-06-08,0.001256384441335208,0.0005955566755520428,0.001851941116887251,0.3568297932138829,9
2005-06-09,0.0018114124113577657,0.001291568140583199,0.0031029805519409647,0.1675306248533835,9
2005-06-10,0.0010193281399561418,0.0005847185466453058,0.0016040466866014476,0.2709457255459686,9
2005-07-05,0.0008950218035264609,0.0006699009603207363,0.0015649227638471976,0.14385428367869657,9
2005-07-08,0.00043405518431196313,0.0013326545460435263,0.0017667097303554892,-0.508628749981895,9
2005-07-13,0.0009330597626745078,0.0004563751149462568,0.0013894348776207644,0.3430780782936114,9
2005-07-20,0.0020922093168695565,0.0015433845239173308,0.0036355938407868866,0.1509587750961307,9
2005-07-22,0.0009057841984341728,0.0007963300601470908,0.0017021142585812636,0.06430481252081961,9
2005-08-04,0.0005653747860215764,0.0012791645624742438,0.0018445393484958204,-0.38697454572316203,9
2005-08-09,0.001135385589584097,0.0004076262362053858,0.001543011825789483,0.47164859090198663,9
2005-08-16,0.0005976487125137048,0.0007377167203202423,0.001335365432833947,-0.104891143924013,9
2005-08-17,0.002664353846472092,0.0008375174714840807,0.003501871317956173,0.5216743304132099,9
2005-08-18,0.0029838565885923745,0.002164712610038542,0.005148569198630916,0.15910128560992357,9
2005-08-19,0.0017325163321164282,0.0022916748166386188,0.004024191148755047,-0.13894928542228313,9
2005-08-22,0.0014343789867871592,0.0010020749203076167,0.002436453907094776,0.1774316621466569,9
2005-08-26,0.00040177117907857325,0.00046638809989356074,0.000868159278972134,-0.07442979920860993,9
2005-09-05,0.0010888107034695907,0.0003057426868107031,0.0013945533902802935,0.5615188504912656,9
2005-09-06,0.003289860467510971,0.002373955178886739,0.0056638156463977105,0.16171170564260232,9
2005-09-07,0.002166844781479547,0.0014554809079890356,0.0036223256894685834,0.196383189827106,9
2005-09-09,0.0003111376202355845,0.00033646483579821663,0.000647602456033801,-0.03910920245384341,9
2005-09-20,0.00040361641213446147,0.00044064288438826167,0.0008442592965227231,-0.043856753969192024,9
2005-09-22,0.001873848366478212,0.0023020397453805113,0.004175888111858723,-0.10253899707856583,9
2005-09-23,0.0007086923892949378,0.0005321043435887204,0.0012407967328836582,0.14231827101593028,9
2005-10-27,0.0009823372414215765,0.000604666201449083,0.0015870034428706594,0.2379774547239427,9
2005-11-18,0.0008442057175609062,0.00031371437437686814,0.0011579200919377745,0.4581415823748796,9
