Group_Square,beta_G01,beta_G03,AvgRet,Alpha
Square_G01,1.901,-2.0949,0.2502,0.4744
Square_G02,1.2409,2.3657,1.5256,-1.4829
Square_G03,2.7268,1.7657,2.0004,-3.9152
HML,0.8258,3.8606,1.7503,-4.3896
t,2.0107,1.702,1.9665,-3.6623
p,0.0843,0.164,0.09,0.0014
