Group_AutoCorr,REV_G01,REV_G03,AvgRet,Alpha
AutoCorr_G01,3.9214,2.2272,3.3003,-0.9505
AutoCorr_G02,1.4193,2.1413,1.6282,0.7216
AutoCorr_G03,2.9546,1.5487,2.6327,-1.2992
HML,-0.9668,-0.6785,-0.6676,-0.3486
t,-0.6855,-0.2434,-0.3821,-0.1213
p,0.5151,0.8196,0.7137,0.9045
